年度,公務人員（新臺幣:千元）,教育人員（新臺幣:千元）,軍職人員（新臺幣:千元）
85年度,151088,10027,0
86年度,625004,272999,341838
87年度,755248,609503,1061614
88年度,1233290,1152536,1903587
89年度,2470362,3025826,3979607
90年度,3213496,3372900,2842695
91年度,2750701,4271598,3137049
92年度,3487622,5192512,3698417
93年度,4649989,7660838,5255691
94年度,5989485,8490623,5102209
95年度,7447804,9596790,6375813
96年度,8772599,10534010,6241844
97年度,10155313,11577533,6596168
98年度,11600702,12703381,6365157
99年度,13756967,14054334,7732868
100年度,16746016,15984883,9870832
101年度,20270740,18310673,11566206
102年度,23619437,20486592,13622218
103年度,26987262,22445267,13590001
104年度,30610578,24931853,14492409
105年度,34700211,27909447,15974322
106年度,38171709,31008544,17434626
107年度,42058212,34281744,14123542
108年度,43376712,36109790,10788662
109年度,45222138,37525290,11190292
110年度,48071763,39120311,11670441
111年度,51485602,41708729,12419160
